bioTime_ms,population,divisions,apoptosis_cum,mutated_alive,G1,S,G2,prophase,metaphase,anaphase,telophase,cytokinesis,arrested
820473227,32,52,13,32,32,0,0,0,0,0,0,0,0
820473764,32,52,13,32,32,0,0,0,0,0,0,0,0
820474284,32,52,13,32,32,0,0,0,0,0,0,0,0
820474804,32,52,13,32,32,0,0,0,0,0,0,0,0
820475307,32,52,13,32,32,0,0,0,0,0,0,0,0
820475810,32,52,13,32,32,0,0,0,0,0,0,0,0
820476330,32,52,13,32,32,0,0,0,0,0,0,0,0
820476850,32,52,13,32,32,0,0,0,0,0,0,0,0
820477353,32,52,13,32,32,0,0,0,0,0,0,0,0
820477873,32,52,13,32,32,0,0,0,0,0,0,0,0
820478393,32,52,13,32,32,0,0,0,0,0,0,0,0
820478913,32,52,13,32,32,0,0,0,0,0,0,0,0
820479450,32,52,13,32,32,0,0,0,0,0,0,0,0
820479986,32,52,13,32,32,0,0,0,0,0,0,0,0
820480506,32,52,13,32,32,0,0,0,0,0,0,0,0
820481026,32,52,13,32,32,0,0,0,0,0,0,0,0
820481529,32,52,13,32,32,0,0,0,0,0,0,0,0
820482049,32,52,13,32,32,0,0,0,0,0,0,0,0
820482553,32,52,13,32,32,0,0,0,0,0,0,0,0
820483089,32,52,13,32,32,0,0,0,0,0,0,0,0
820483592,32,52,13,32,32,0,0,0,0,0,0,0,0
820484095,32,52,13,32,32,0,0,0,0,0,0,0,0
820484598,32,52,13,32,32,0,0,0,0,0,0,0,0
820485135,32,52,13,32,32,0,0,0,0,0,0,0,0
820485655,32,52,13,32,32,0,0,0,0,0,0,0,0
820486192,32,52,13,32,32,0,0,0,0,0,0,0,0
820486695,32,52,13,32,32,0,0,0,0,0,0,0,0
820487215,32,52,13,32,32,0,0,0,0,0,0,0,0
820487718,32,52,13,32,32,0,0,0,0,0,0,0,0
820488222,32,52,13,32,32,0,0,0,0,0,0,0,0
820488741,32,52,13,32,32,0,0,0,0,0,0,0,0
820489261,32,52,13,32,32,0,0,0,0,0,0,0,0
820489781,32,52,13,32,32,0,0,0,0,0,0,0,0
820490301,32,52,13,32,32,0,0,0,0,0,0,0,0
820490804,32,52,13,32,32,0,0,0,0,0,0,0,0
820491341,32,52,13,32,32,0,0,0,0,0,0,0,0
820491861,32,52,13,32,32,0,0,0,0,0,0,0,0
820492381,32,52,13,32,32,0,0,0,0,0,0,0,0
820492884,32,52,13,32,32,0,0,0,0,0,0,0,0
820493421,32,52,13,32,32,0,0,0,0,0,0,0,0
820493941,32,52,13,32,32,0,0,0,0,0,0,0,0
820494461,32,52,13,32,32,0,0,0,0,0,0,0,0
820494964,32,52,13,32,32,0,0,0,0,0,0,0,0
820495467,32,52,13,32,32,0,0,0,0,0,0,0,0
820495987,32,52,13,32,32,0,0,0,0,0,0,0,0
820496507,32,52,13,32,0,0,0,0,0,0,0,0,32
820497043,32,52,13,32,0,0,0,0,0,0,0,0,32
820497546,32,52,13,32,0,0,0,0,0,0,0,0,32
820498066,32,52,13,32,0,0,0,0,0,0,0,0,32
820498570,32,52,13,32,0,0,0,0,0,0,0,0,32
820499073,32,52,13,32,0,0,0,0,0,0,0,0,32
820499610,32,52,13,32,0,0,0,0,0,0,0,0,32
820500179,32,52,13,32,0,0,0,0,0,0,0,0,32
820500683,32,52,13,32,0,0,0,0,0,0,0,0,32
820501186,32,52,13,32,0,0,0,0,0,0,0,0,32
820501706,32,52,13,32,0,0,0,0,0,0,0,0,32
820502243,32,52,13,32,0,0,0,0,0,0,0,0,32
820502762,32,52,13,32,0,0,0,0,0,0,0,0,32
820503266,32,52,13,32,0,0,0,0,0,0,0,0,32
820503769,32,52,13,32,0,0,0,0,0,0,0,0,32
820504306,32,52,13,32,0,0,0,0,0,0,0,0,32
820504826,32,52,13,32,0,0,0,0,0,0,0,0,32
820505329,32,52,13,32,0,0,0,0,0,0,0,0,32
820505849,32,52,13,32,0,0,0,0,0,0,0,0,32
820506386,32,52,13,32,0,0,0,0,0,0,0,0,32
820506905,32,52,13,32,0,0,0,0,0,0,0,0,32
820507408,32,52,13,32,0,0,0,0,0,0,0,0,32
820507911,32,52,13,32,0,0,0,0,0,0,0,0,32
820508432,32,52,13,32,0,0,0,0,0,0,0,0,32
820508935,32,52,13,32,0,0,0,0,0,0,0,0,32
820509472,32,52,13,32,0,0,0,0,0,0,0,0,32
820510008,32,52,13,32,32,0,0,0,0,0,0,0,0
820510511,32,52,13,32,32,0,0,0,0,0,0,0,0
820511032,32,52,13,32,32,0,0,0,0,0,0,0,0
820511551,32,52,13,32,32,0,0,0,0,0,0,0,0
820512054,32,52,13,32,32,0,0,0,0,0,0,0,0
820512591,32,52,13,32,32,0,0,0,0,0,0,0,0
820513094,32,52,13,32,32,0,0,0,0,0,0,0,0
820513631,32,52,13,32,32,0,0,0,0,0,0,0,0
820514134,32,52,13,32,0,0,0,0,0,0,0,0,32
820514671,32,52,13,32,0,0,0,0,0,0,0,0,32
820515174,32,52,13,32,0,0,0,0,0,0,0,0,32
820515695,32,52,14,32,0,0,0,0,0,0,0,0,32
820516197,32,52,14,32,0,0,0,0,0,0,0,0,32
820516717,32,52,14,32,0,0,0,0,0,0,0,0,32
820517221,32,52,14,32,0,0,0,0,0,0,0,0,32
820517741,32,52,14,32,0,0,0,0,0,0,0,0,32
820518261,32,52,14,32,0,0,0,0,0,0,0,0,32
820518763,32,52,14,32,0,0,0,0,0,0,0,0,32
820519300,32,52,14,32,0,0,0,0,0,0,0,0,32
820519854,32,52,14,32,0,0,0,0,0,0,0,0,32
820520407,32,52,14,32,0,0,0,0,0,0,0,0,32
820520910,32,52,14,32,0,0,0,0,0,0,0,0,32
820521397,32,52,14,32,0,0,0,0,0,0,0,0,32
820521934,32,52,14,32,0,0,0,0,0,0,0,0,32
820522436,32,52,14,32,0,0,0,0,0,0,0,0,32
820522956,32,52,14,32,0,0,0,0,0,0,0,0,32
820523460,32,52,14,32,0,0,0,0,0,0,0,0,32
820523980,32,52,14,32,0,0,0,0,0,0,0,0,32
820524499,32,52,14,32,0,0,0,0,0,0,0,0,32
820525019,32,52,14,32,0,0,0,0,0,0,0,0,32
820525556,32,52,14,32,0,0,0,0,0,0,0,0,32
820526076,32,52,14,32,0,0,0,0,0,0,0,0,32
820526596,32,52,14,32,0,0,0,0,0,0,0,0,32
820527132,32,52,14,32,0,0,0,0,0,0,0,0,32
820604346,32,52,14,32,0,0,0,0,0,0,0,0,32
820705006,32,52,14,32,0,0,0,0,0,0,0,0,32
820808930,32,52,14,32,0,0,0,0,0,0,0,0,32
820909674,32,52,14,32,0,0,0,0,0,0,0,0,32
821010206,32,52,14,32,0,0,0,0,0,0,0,0,32
821114238,32,52,14,32,0,0,0,0,0,0,0,0,32
821215006,32,52,14,32,0,0,0,0,0,0,0,0,32
821318934,32,52,14,32,0,0,0,0,0,0,0,0,32
821419482,32,52,14,32,0,0,0,0,0,0,0,0,32
821520086,32,52,14,32,0,0,0,0,0,0,0,0,32
821624218,32,52,14,32,0,0,0,0,0,0,0,0,32
821731458,32,52,14,32,0,0,0,0,0,0,0,0,32
821838790,32,52,14,32,0,0,0,0,0,0,0,0,32
821946234,32,52,14,32,0,0,0,0,0,0,0,0,32
822050210,32,52,14,32,0,0,0,0,0,0,0,0,32
822154218,32,52,14,32,0,0,0,0,0,0,0,0,32
822258090,32,52,14,32,0,0,0,0,0,0,0,0,32
822365494,31,52,14,31,0,0,0,0,0,0,0,0,31
822466194,31,52,14,31,0,0,0,0,0,0,0,0,31
822566698,31,52,14,31,0,0,0,0,0,0,0,0,31
822667466,31,52,14,31,0,0,0,0,0,0,0,0,31
822771454,31,52,14,31,0,0,0,0,0,0,0,0,31
822878662,31,52,14,31,0,0,0,0,0,0,0,0,31
822979270,31,52,14,31,0,0,0,0,0,0,0,0,31
823080030,31,52,14,31,0,0,0,0,0,0,0,0,31
823184002,31,52,14,31,0,0,0,0,0,0,0,0,31
823288042,31,52,14,31,0,0,0,0,0,0,0,0,31
823391978,31,52,14,31,0,0,0,0,0,0,0,0,31
823495994,31,52,14,31,0,0,0,0,0,0,0,0,31
823596534,31,52,14,31,0,0,0,0,0,0,0,0,31
